"judul_webtoon","sinopsis_webtoon"
"A.I. Doctor","Lee Suhyeok, dokter residen tahun pertama yatim piatu pintar tiba-tiba mengalami kecelakaan saat mengunjungi Baruda, sebuah A.I Diagnosis, bersama para dokter lainnya. 

Setelah kecelakaan, Suhyeok menjadi jenius! Ternyata kecelakaan itu membuat Baruda dan Suhyeok menyatu, jadi seperti apa Suhyeok setelah kejadian ini, ya?"
"No Longer the Nice Sister","Irene Chase, anak tertua dari Keluarga Count Chase, tumbuh menjadi bayangan sang adik, Liel Chase, yang bertubuh lemah. Bak anak yang tidak ada dalam keluarga, Irene hidup hanya untuk merawat Liel.

Muak dengan keberadaannya yang tak dianggap, Irene memberanikan diri untuk melangkah keluar dari hidup seperti bayangan di keluarga yang bahkan tak pantas disebut keluarga itu. Bagaimana hidup Irene akan berubah setelahnya?"
"The Esper’s Game","Seomun Yeop berhasil menyelamatkan umat manusia dari serangan manusia bawah tanah alias grounder. Sayangnya, ia menjadi satu-satunya dari 7 pahlawan yang tidak berhasil kembali dalam keadaan selamat.

17 tahun berlalu, dan perang melawan grounder kini menjadi sebuah olahraga yang bernama ""Battleground"". Ironisnya, Korea Selatan yang menjadi tanah kelahiran Seomun Yeop, berada di peringkat terbawah dunia. Saat harapan hampir pudar, tiba-tiba Seomun Yeop muncul dan hidup kembali! Apakah ia akan kembali menjadi pahlawan bagi negaranya di ""Battleground""?"
"Mr. Magic Man","Ma Maseong, pria yang menjuluki dirinya sebagai pesulap seksi tiba-tiba bertemu dengan seorang wanita, Cheondong, yang ternyata seorang dukun dari zaman Kerajaan Joseon.

Menurut penglihatan Cheondong, Maseong adalah Putra Mahkota Kerajaan Joseon yang mencintai dan mengirimnya ke masa sekarang. Sebenarnya apa arti dari pertemuan keduanya?"
"What Melvin Left Behind","Melvin Neus, penerus takhta Kerajaan Neus tiba-tiba diserang oleh kesatria yang entah datang dari mana. Berhasil melindungi sang adik, Cheryl Neus, Melvin malah meregang nyawa. 

Sebelum kematiannya, Melvin berpesan pada Cheryl bahwa sahabatnya, Felix Blair, adalah satu-satunya yang bisa melindunginya. Bagaimana kelanjutan kisah Kerajaan Neus tanpa penerus takhtanya?"
"Help! I’m Scared","Cha Sangyeob, bocah SMA yang tak punya teman, melalukan ritual pemanggilan hantu demi bertemu dengan hantu gadis cantik. Ia pun berhasil, namun dikarenakan suatu kejadian, tubuhnya harus dirasuki hantu cantik tersebut. Tetapi, sejak dirasuki hantu gadis cantik, berbagai masalah datang bertubi-tubi… Selama dirasuki, ia tidak dapat mengingat apa pun, dan kaum lelaki di SMA-nya tiba-tiba tertarik padanya?! Tak hanya itu, ia juga harus berhadapan dengan sosok misterius yang ingin membunuhnya, hantu-hantu sadis lain yang mengincarnya, dan juga malaikat pencabut nyawa yang memiliki agenda sendiri!"
"My Third Romance","Cha Yeonwoo, gadis yang sudah berpacaran dengan sang kekasih, Jeon Taeju, selama 9 tahun tiba-tiba dighosting! Saat dighosting, cinta pertama Yeonwoo yang sempat menghilang, Hyun Sejin, muncul kembali di hadapannya. Namun saat ingin meminta penjelasan soal masa lalu, Yeonwoo tiba-tiba terlempar kembali ke masa-masa saat dirinya dan Sejin masih ""bersama"". Bagaimana kelanjutan kisah cinta Yeonwoo, ya?"
"Designated Bully","Setelah drop out dari sekolah, Kwon Daegeon menghabiskan hari-harinya bekerja di minimarket sembari belajar untuk ujian penyetaraan. Saat sedang bekerja, ia diajak ribut oleh kawanan preman SMA, tetapi Daegeon mengalahkan mereka dengan mudahnya. Tak lama kemudian, Daegeon ditawarkan sebuah proyek oleh Yayasan Pendidikan yang ingin mengendalikan 'masalah' ini. Ia pun kembali bersekolah demi membasmi para perundung yang menguasai SMA!"
"Mythic Item Obtained","Dalam dunia di mana teknologi dan sihir hampir tak terpisahkan, monster-monster yang dijumpai dalam mitos dan legenda meneror umat manusia. Di saat semuanya sudah putus asa, sosok-sosok dengan kekuatan dewa muncul untuk menyelamatkan dunia—sosok yang disebut Awakener. Jaehyun adalah seorang Awakener yang bekerja sebagai Raider. Namun, kemampuannya yang di bawah rata-rata membuatnya kesulitan. Pada suatu hari, ia menemukan suatu item yang dapat mengubah tak hanya hidupnya, tapi uga jalannya sejarah yang selama ini ia ketahui…"
"The Greatest Table For Two","Yoo Eunkyum, influencer makanan terkenal sekaligus cucu pemilik perusahaan donkatsu ternama, tak bisa makan donkatsu. Bukan cuma itu, makanan lain yang bukan masakannya sendiri pun tak bisa dimakannya karena trauma masa kecil. Tapi kehadiran Dokgo Hyesang, si murid persiapan PNS, bisa mengubah itu semua. Apa yang terjadi di antara mereka, ya?"
"Little Things","Ketika ibu Dara dan ayah Tara menikah, keduanya resmi menjadi saudara tiri di saat remaja. Mereka berusaha hidup berdampingan dengan akur, namun hal-hal kecil yang terjadi seiring hari membuat mereka dekat... sampai pada akhirnya keduanya merasa kedekatan itu adalah masalah bagi keluarga baru mereka."
"Into the Boundary of Love","Ara yang selalu ditinggal bekerja oleh orang tuanya seperti mendapat adik baru saat Garam dan keluarganya pindah ke kompleks apartemennya. Ara dan Garam yang awalnya dekat sebagai kakak adik, tiba-tiba dihadapkan pada kenyataan bahwa mereka seumuran, bahkan sekelas di sekolah. Walau sempat canggung, keduanya berhasil memperbaiki berhubungan mereka dan menjalani hari-hari sebagai sepasang sahabat. Namun, apakah persahabatan antara pria dan wanita ini bisa berjalan mulus? Apa jadinya kalau salah satu dari mereka diam-diam menyimpan perasaan dan berharap untuk melewati batas pesahabatan tersebut?"
"Ranker's Return","MeleeGod, sang pemain nomor satu di masa awal pembukaan game Arena, suatu hari menghapus karakternya dan menghilang begitu saja! Di kehidupan nyata, pemain hebat ini adalah Kang Hyunwoo, yang berhenti bermain demi melaksanakan wajib militer dan mewarisi perusahaan ayahnya. Akan tetapi, dalam dua tahun, perusahaan tersebut bangkrut dikarenakan ulah saingan bisnis ayahnya. Demi memperbaiki kondisi ekonomi keluarga serta membalaskan dendam ayahnya, Hyunwoo kembali lagi ke Arena sebagai pemula. Namun, tak ada yang mengetahui identitas lamanya!"
"The Build Up","Dokumenter sepak bola yang awalnya terpaksa ia tonton malah membuat Kang Maru terobsesi untuk menjadi pemain sepak bola yang keren. Namun, tubuh gemuk dan wajah culunnya membuat dia hanya menjadi ""anak gawang"" di lapangan bola. Sampai suatu saat, Maru berkesempatan untuk ikut tes masuk tim sepak bola di sekolahnya. Mampukah ia menunjukkan bakat terpendamnya dalam bermain sepak bola dan lepas dari peran ""anak gawang""?"
"It Was All You","Ditinggal sang kekasih ke Mars, Lee Yuri kini telah menikah dan menjadi penguji clone yang diberi bernama Victor dengan perasaan yang dibuat hanya untuk mencintai tuannya. Kisah asmara seakan tak berjalan semulus yang diinginkannya, Yuri ternyata diselingkuhi oleh suaminya. Bagaimana kelanjutan kisah cinta Yuri? Akankah berlanjut atau kandas tanpa harapan?"
"That Which Flows By","Seo Gyeol, seorang jenderal yang hidup dengan kisah keluarganya yang tewas karena kabar palsu perngkhianatan, kini harus hidup bersama dabi dan dadong.

Kabar tersebar bahwa dia harus hidup seperti itu karena kutukan yang membuatnya tak bisa meminum air selain teh yang pekat. Apakah semua rumor tentangnya itu benar?"
"Hati Nammo","Lahir dengan hati yang kecil, Budi tumbuh dengan perlindungan total dari dunia luar dan penderitaan. Suatu hari Budi yang menyamar sebagai Nammo dihadapkan pada pertanyaan besar dari seseorang yang disukainya. Budi berusaha menghindar tetapi takdir terus menarik Budi kepada kehidupan, cinta, dan bulutangkis."
"Catching Up to Luke Bischel","Bastian Effenberg, putra tunggal Duke Effenberg yang terkenal dengan ketampanan dan sikap buruknya, tiba-tiba mendeklarasikan rencananya menikah dengan Luke Bischel, pemburu monster terbaik di kerajaan sekaligus sumber ketakutan Bastian di masa kecil. Pernikahan itu langsung menimbulkan kegemparan di kalangan istana. Apakah Bastian mampu mendapatkan hati Luke?"
"JADIKAN AKU YANG PERTAMA!","Karakter-karakter sampingan ini sudah lelah berada di bayang-bayang terus! Dalam kompilasi kali ini, WEBTOON akan menceritakan kisah-kisah karakter-karakter sampingan ini. Pokoknya, kali ini, mereka adalah tokoh utamanya!"
"Extraordinary Attorney Woo","Diangkat dari serial drama “EXTRAORDINARY ATTORNEY WOO”! Setelah menyelesaikan studinya di Universitas Korea dengan predikat lulusan terbaik, Woo Youngwoo memulai karirnya sebagai pengacara di firma hukum besar. Gangguan spektrum autisme yang dimilikinya memberi Youngwoo perspektif unik dalam memecahkan beragam kasus hukum. Berbekal IQ tinggi dan ingatan fotografisnya pula, Woo Youngwoo menunjukkan pada semua orang bahwa ia mampu membela klien dan memenangkan persidangan."
"Charming the Duke of the North","Duke si raja dingin tiba-tiba dihadapkan dengan Rinha, aktris top dari dunia lain. Ingin kembali ke dunianya, Rinha mengajukan perjanjian hubungan dengan sang raja. Terjebak di hubungan sandiwara, apa rasanya ya jadi pendamping Duke dari Utara di dunia yang tak dikenal?"
"Toko Permen Helianthus","Toko permen itu ada di ujung jalan. Sudah hampir tujuh tahun sejak tempatnya ditutup, tapi Nana masih sering berkunjung saat mengalami hari yang buruk. Di tahun yang berat baginya, secara ajaib toko itu kembali dibuka. Ini awal pertemuan dari 3 orang yang datang berteduh dari kehidupan, untuk sejenak dan belajar memaafkan."
"The Great Inheritance","Setelah Hwajeong hamil di luar nikah, sikap Taeha selaku ayah dari anaknya berubah menjadi dingin dan ketus. Tak hanya itu, Hwajeong bahkan menangkap basah Taeha berselingkuh! Tapi, nasib buruk Hwajeong mendadak berubah setelah ia dikabarkan berpotensi mendapat warisan senilai 50 miliar won! Tak hanya itu, tiba-tiba sikap Taeha pun berubah 180 derajat. Apakah Hwajeong akhirnya mendapatkan akhir bahagianya? Atau ini justru awal dari kemalangan lain yang menantinya?"
"The Age of Cruelty","Majino menemukan seseorang yang wajahnya sangat mirip dengannya di sosial media! Dengan bantuan teman, ia menggali informasi tentangnya dan mendapatkan bahwa anak yang bernama Jin Jintae itu adalah siswa teladan yang berasal dari keluarga kaya raya, sedangkan Majino sendiri berandalan sekolah yang dibesarkan di panti asuhan. Mengapa mereka kembar identik, namun nasib mereka sangat berbeda? Apa yang sebenarnya terjadi?! Majino mencoba mencari kebenaran tentang masa lalunya, dan hidupnya pun melekat pada sosok Jin Jintae. Akan tetapi… tak ada yang mudah di era yang kejam ini. "
"Dungeons & Artifacts","Dungeon dan artefak, kedua hal ini sangat dicari apalagi oleh seorang penjelajah, termasuk Stitch Atelier. Suatu hari saat melakukan pekerjaannya, Stitch dihadapkan dengan ""kematian"" yang lalu mengubah hidupnya. Ternyata itu ulah artefak! Apa yang terjadi?"
"Sinister Stories","Mengapa penduduk desa dilarang menaiki bukit? Apa yang akan kamu lakukan jika terjebak di kamar mandi? Kamu percaya hantu itu nyata? Cerita-cerita aneh dan menyeramkan ini akan bikin kamu merinding!"
"Bad Boy Crush","Lily, seorang siswi yang pintar di sekolah ini memiliki tipe ideal yang tak biasa. Bukan cowok manis yang baik dan memperlakukannya bak seorang putri yang dicarinya, tapi cowok jahat bak villain lebih menggoda di matanya. Akhirnya Lily berhasil menemukan cowok yang seperti villain di sekolah, apakah dia bisa membuat cowok ini jadi miliknya?"
"Another Love","Berniat kabur dari trauma masa lalunya, Jae malah terjebak dengan seorang pria tampan bernama Joff. Walau hubungan mereka berawal dari salah paham, obrolan yang 'nyambung' membuat keduanya menjadi akrab. Namun, di saat hubungan mereka mulai ditumbuhi perasaan cinta, Jae tiba-tiba menghilang..."
"Lifesaving Romance","Eunhong yang seorang aktris biasa, suatu hari terlibat dengan seorang pria misterius bernama Kang-Il dan tidak sengaja menusukkan suatu obat ke dalam tubuhnya sendiri. 
Alhasil karena obat itu, sekarang Eunhong harus berpura-pura berakting sebagai tunangannya Kang-il dan harus terus bersama dengannya.. karena Kang-il tidak bisa bertahan hidup tanpa menerima antibodi yang ada di tubuh Eunhong!"
"Even More","Go Wooyeon, seorang manajer galeri yang baru saja diselingkuhi pacarnya. Kwon Jeongheon, direktur M Holdings yang terkenal dengan sebutan ‘Anjing Haesin’. Keduanya bertemu lagi secara kebetulan setelah sekian lama, dan perasaan yang terpendam di masa lalu kembali muncul—bersamaan dengan ingatan dan luka lama."
"All Hail Lady Blanche!","Blanche, seorang putri kerajaan yang ""berbeda"" terjebak dalam keluarga yang menggunakannya demi nama baik dan kepentingan mereka. Ingin membalikkan keadaan, apa yang akan Blanche lakukan?"
"How to Place My Dog on the Throne","Im Bobae 'pindah dunia' usai menyelamatkan anjing peliharaannya, Deoksun dari hantaman truk. Tak hanya dunianya yang berubah, ia pun berubah wujud menjadi Beatrice Giuseppe alias Trixie. Hidup Im Bobae sebagai Trixie penuh dengan penderitaan hingga suatu hari ia mendapat kesempatan untuk mengubah nasibnya. Di saat yang sama, ia dipertemukan kembali dengan... Deoksun?"
"Her Highness, the Wildflower","Melody Corbella dikenal sebagai 'putri gila' di Kerajaan Corbella. Tak hanya penampilannya, tingkah lakunya yang memicu keributan di istana pun tak mencerminkan seorang tuan putri. Namun, ternyata Melody menyimpan rencana tersembunyi di balik semua tingkah gilanya... Apa itu?"
"Kill the Dragon","""Bertahan hiduplah sekuat tenaga.""

Umat manusia mendapat deklarasi kehancuran dari penyerang 'Dragon'. Di dunia yang mulai runtuh ini, seorang yatim piatu perang bernama Lee Han, dilatih menjadi 'Psyker' untuk melindungi manusia!"
"The Queen of Kisses","Di hari pertama sebagai suami-istri, suaminya menghilang dan dia ditemukan terombang-ambing di tengah lautan. Setelah diselamatkan, dia pun kini menjadi tersangka kasus pembunuhan suaminya. Tiba-tiba, seorang dari masa lalu yang tidak ingin dia temui lagi bersedia membantunya untuk mencari fakta sesungguhnya dari kasus ini. Benarkah dia membunuh suaminya sendiri? Atau dia hanya dijadikan kambing hitam dari kasus yang lebih besar? "
"Soul of the Wind","Eun Geomho, seorang pendekar, menjadi satu-satunya yang berhasil lolos dari pasukan Istana Darah dan menyelesaikan misi. Ia beruntung bisa selamat kali ini, tapi tak ada yang mengetahui takdirnya di misi selanjutnya. Sekutu hari ini mungkin saja menjadi musuh di esok hari. Demi meningkatkan kemampuannya, ia akhirnya memutuskan untuk berkelana sendiri dan menguak rahasia-rahasia seni bela diri."
"Jangan Scroll","Sanatorium janggal. Paranormal mencurigakan. Hantu-hantu gentayangan. Kumpulan cerita horror pendek dari berbagai author ini memuat beragam kisah seram. Scroll ke bawah jika kamu berani! "
"Playing Hard to Get","Lee Seah adalah seorang wedding planner yang selalu diremehkan oleh timnya. Setelah terpaksa menggantikan pengantin mantan pacarnya, Ia malah bertemu dengan Jihyeok, konglomerat yang mempunyai reputasi menarik-ulur wanita. Apa yang terjadi di saat kala Jihyeok jatuh cinta terhadap Seah pada pandangan pertama?"
"My Sweet Sunshine","Icha siswi pintar dan populer, namun punya sisi kekanakan, yakni sangat terobsesi untuk merasakan cinta pertama seperti yang ada di novel yang dia baca. Sayangnya, meski sudah beberapa kali pacaran, dia masih belum bisa merasakan “Getaran Cinta”

Mampukah Icha menemukan ""Getaran Cinta"" yang didamba-dambakannya?"
"Born as the Second Daughter","Aku lahir sebagai putri pertama dan meninggal pada usia 5 tahun, kemudian aku terlahir dari dari ibuku untuk kedua kalinya. Tapi di kehidupan kedua, ibuku meninggal.  Setelah mengambil selembar kertas yang berisi mantra oleh ibuku, aku bertemu dengan seorang pria berambut merah muda. Dia mengaku dia adalah ayahku? Bahkan kaisar? Dan juga memiliki tiga kakak laki-laki? Ibu… Apakah aku bisa hidup dengan keluarga baru?"
"How to Tame the Royal Guard Dog","Eme yang ingin berpacaran, tanpa kenal siapa orangnya, dia langsung menembak Alfons, si 'anjing penjaga' kaisar yang memiliki tugas untuk menyelesaikan semua masalah kaisar dari balik layar. Dan Eme yang menjadi kekasihnya pun, jadi harus merasakan kencan yang berkedok misi?!"
"What the Folk","Meta, seorang mahasiswi biasa yang super logis dan berpikir secara ilmiah, tentunya nggak percaya dengan keberadaan makhluk fantasi dan superhero. Tapi siapa sangka, dia diserang raksasa dari cerita Timun Mas di siang hari bolong?! Sekarang Meta terjerat ke dalam intrik dan rahasia superhero lokal yang nggak sekeren yang orang-orang pikirkan selama ini!"
"The Killer's Shopping List","Hidup Cha Eunji dipenuhi dengan nasib buruk sejak ia masih kecil. Tak ada satupun orang yang bisa jadi tempat ia bersandar, termasuk kedua orangtuanya. Ingin lepas dari kasus pembunuhan yang terjadi di sekitarnya, Cha Eunji memutuskan untuk memulai hidup baru di Kota Yido, jauh dari kampung halamannya di mana ia diperlakukan seperti orang yang diasingkan. Namun, sang pembunuh rupanya mengikuti Cha Eunji dan menekannya perlahan-lahan. Apa alasan di balik nasib malang Cha Eunji? Dan, apa hubungan Cha Eunji dengan kasus pembunuhan yang mengikutinya?"
"For My Derelict Favorite","Aku punya novel favorit yang sudah kubaca tak terhitung berapa kali.
Tiba-tiba aku terbangun menjadi karakter tak dikenal bernama Hestia di novel itu! Aku menjalani kehidupan hingga novel itu tamat… Tapi kenapa aku tidak kembali ke tubuh asliku?!
Apakah aku harus menyelamatkan Kaelus, karakter favoritku, agar tidak mati?!

Baiklah, Kaelus kesayanganku! Kali ini aku akan menyelamatkanmu!
"
"Surviving as a Fish","Lee Yu-sin, yang berada di ambang kematian karena pengkhianatan seorang rekan kerja tepercaya, melihat seberkas cahaya di saat kematian.
""Apakah kamu ingin memulai hidup baru lagi?""
Ketika dia sadar, waduk besar terbentang di depan matanya, dan tubuhnya berubah menjadi ikan!?"
"King of the Octagon","Setelah melihat kakaknya dikalahkan di pertarungan MMA, Hwisung sang mantan berandalan pun tertarik untuk mengikuti seni beladiri dan menjadi petarung MMA yang terbaik. Dan ternyata, Hwisung sangat berbakat dalam bertarung!"
"Efficient Dating for Singles","Lee Uiyong, karyawati berumur 33 tahun yang membenci kencan buta, kali ini dihadapkan dengan dua pasangan kencan: pria mapan VS pria yang dia sukai. Siapa yang harus dia pilih?!"
"My Office Rebound Marriage","Setelah diselingkuhi oleh pacarku dan putus, bosku bilang kalau dia sudah lama menungguku putus dari pacarku? Jadi, dia menunggu waktu ini?!"
"Bug Eater","Akun karakter pemain nomor satu Kim Jihan dihapus oleh pengguna yang mencurigakan dan kembali menjadi level 1 karena bug yang digunakannya!?
Sekarang dia harus kembali memainkan game ini demi menyelamatkan adiknya yang terluka!"
"Your Voice","Min Eunhoo, kepala manager perusahaan JK, bisa mendengar suara seorang wanita di pikirannya. Suara wanita itu mengganggu keseharian Eunhoo terutama ketika dia sedang fokus bekerja. Eunhoo terus mencari wanita ini hingga suatu hari, dia bertemu dengan wanita itu saat wawancara kerja!"
"Your Day is Mine","Tetanggaku adalah seorang stalker gila??!! Gimana cara aku keluar dari situasi ini!?"
"A Whirlwind Campus Affair","Oh Baram adalah seorang mahasiswi seni yang selalu dikelilingi oleh gosip yang tidak enak. Selingkuhan, gila, dan hanya ingin mendapatkan nilai A+. Setelah insiden yang membuat dia harus cuti, akhirnya dia kembali lagi ke kampus... sebagai mahasiswi cuti. Kira-kira apa yang akan terjadi di kehidupan kampusnya?"
"Seoulmate","Lina, seorang fotografer yang juga penggemar K-Pop dan K-Drama mengajak salah satu temannya sejak SMA yang kini seorang PNS bernama Akmal, pergi ke Seoul untuk menemaninya bekerja sembari liburan. Perbedaan selera antara Lina yang dikenal sebagai pemakan segala dan Akmal yang kaku dan sangat memperhatikan segala sesuatu yang dia makan membuat mereka sering berselisih saat memilih makanan.
Perjalanan ini akan mengungkap alasan sebenarnya Lina memaksa Akmal untuk tetap ikut dengannya walaupun Cindy, salah satu sahabat mereka batal ikut. Juga ada rahasia besar yang telah disimpan Lina dan Akmal. Apakah mereka mampu jujur terhadap satu sama lain?"
"Resigning as the Villainess","Aku yang masuk ke tubuh seorang pemeran antagonis bernama Olivia, bertekat untuk hidup tenang, kenyang dan damai! Untuk itu, aku tidak akan menjadi pemeran antagonis dan menjalani hidupku dengan bahagia!!"
"Let's Get Divorced","Go Baekhee mendadak viral setelah videonya menendang mantan pacar yang berengsek tersebar! Dia jadi bahan omongan satu negara. Capek dengan reputasinya yang tercemar, Baekhee kepingin pindah ke luar negeri supaya nggak ada yang mengenalinya. Cara tercepat adalah kawin kontrak dengan mantan gebetan, yang warga negara Australia, lalu bercerai setelah Baekhee pindah kewarganegaraan. Gampang? Nggak dong... supaya tidak mencurigakan, mereka harus kelihatan benar-benar jatuh cinta. Kalau baper, gimana?!"
"I Can't Keep Up With My Duke","Olivia yang ditinggal 10 tahun oleh suaminya, tiba-tiba mengulang waktu ke awal pernikahannya. Mengingat hidupnya yang susah dengan suami yang begitu, di kehidupan sekarang, dia mau cari suami baru! Dan Duke Ian yang sering digosipkan itu.. sepertinya orang yang cocok?!"
"The Rules of the Game ","Sebuah keanehan terjadi kepada Yoon Siwoo, ketika kombinasi jurus dari game pertarungan Bloodfist dapat dia lihat dan gunakan dalam dunia nyata?!"
"The Empress’ Lipstick","Jae-in yang gemar menggunakan make up karena wajahnya yang dia rasa kurang cantik, menemukan sebuah lipstik aneh. Namun lipstik itu justru membawanya ke dunia lain, dan kini dia menjadi tuan putri Jane?! Apalagi wajahnya jadi cantik!"
"Wanthong yang Tegas","Setelah Pennung terjatuh dan tenggelam di Sungai, ia pun terbangun di tubuh Wanthong. Dalam kisah aslinya, Wanthong dicintai oleh dua pria, dan karena ia tidak bisa memilih, akhirnya ia dibunuh. Apakah nasib Pennung akan sama seperti Wanthong?"
"The Eun's Garden","Shin Jihun, penerus dari perusahaan konstruksi ternama, menghabiskan satu malam bersama dengan wanita yang memikat hatinya.
Tapi wanita itu menghilang dengan meninggalkan 250.000 won, sepasang anting mutiara, dan permintaan maaf?!"
"Eternals: The 500 Year War","Ikuti perjalanan para Eternal melewati ruang, waktu, dan berbagai budaya demi memburu para Deviant. Mereka memberikan umat manusia berbagai artefak berharga dalam peradaban, sambil melindungi dari ancaman Deviant. Ini adalah pertempuran yang berlangsung selama beberapa abad dan keselamatan bumi jadi taruhannya!"
"Can I Take It Back?","Hayan Ban bersiap untuk menyatakan perasaan kepada Taewoon, senior yang dia sukai, dengan kado!
Namun, kadonya malah terlempar dan ditangkap oleh Parkha Seol! Murid yang terkenal berandalan di sekolah!
Hayan Ban mati-matian berusaha untuk tidak ketahuan!
Akankah Hayan Ban dapat melarikan diri dari Parkha Seol dan mengulang pernyataan perasaannya dengan benar?!
"
"Good Luck, Hero!","Hero Baek, seorang mantan kesatria yang berhasil membunuh raja iblis bereinkarnasi menjadi seorang pekerja korporat biasa. Namun, siapa sangka, si raja iblis yang telah ia bunuh juga turut bereinkarnasi jadi salah satu orang terdekatnya? Apakah kali ini Hero Baek bisa mengalahkannya lagi? Atau malah, takdir mereka di kehidupan selanjutnya memang bukan untuk saling bermusuhan dan membunuh?"
"The Monstrous","Seunghwan, Dohee, dan Sangmin, yang merupakan teman dekat sejak kecil. Tetapi semenjak SMA, Sangmin menjadi iri dengan Seunghwan yang populer dan disenangi banyak orang. Sejak saat itu, Sangmin menghilang bersamaan dengan munculnya makhluk-makhluk yang disebut ‘Demon’! Bisakah Seunghwan mendapatkan kembali persahabatan masa kecilnya?"
"Operation: True Love","Apa yang akan kau lakukan di saat kala kau dapat melihat jumlah cinta yang bisa di dapatkan oleh orang-orang di sekitarmu? Dan yang lebih parahnya, kau tidak dii takdirkan untuk dicintai?!"
"My In-laws Are Obsessed With Me","Masuk dalam perjanjian pernikahan kontrak dengan seorang grand duke demi mencari perlindungan, yang ada malah keluarganya begitu terobsesi denganku?"
