"judul_elex","sinopsis_elex"
"atelier of witch hat","Gadis kecil yang tinggal di suatu desa kecil, Coco, sejak dulu bermimpi untuk menjadi penyihir . Akan tetapi, yang bisa menjadi penyihir hanyalah mereka yang memiliki bakat sihir sejak lahir. Apalagi, orang-orang selain penyihir dilarang melihat momen-momen sihir dibuat. Oleh karena itulah, dia menyerah akan mimpi menjadi penyihir. Hingga pada suatu hari, Coco tidak sengaja melihat detik-detik pembuatan sihir ketika seorang penyihir bernama Qiflee berkunjung ke desanya!!"
"Attack on Titan - Junior High School ","Eren dan Mikasa akhirnya diterima masuk sebagai murid SMP Shingeki di mana manusia dan titan bersekolah bersama-sama . Tetapi, sejak suatu insiden lima tahun lalu, Eren jadi sangat membenci titan. Insiden terkutuk apakah itu sebenarnya!? Eren, Mikasa, Levi, dan Titan di SMP yang sama!? Inilah jilid 1 yang penuh kejutan dan kocak dari spin-off serial terlaris Attack on Titan!"
"attack on titan","Dunia ini dikuasai Titan . Orang-orang yang menjadi mangsa para Titan membangun tembok, menukar kebebasan mereka pergi ke dunia luar, demi menghindari serangan Titan. Tapi, ketenangan itu hilang karena datang Titan besar yang menghancurkan tembok. Lalu, dari keputusasaan itu dimulailah perang..."
"attack on titan before the fall","Untuk melindungi diri dari ancaman Titan yang mendadak muncul, umat manusia membangun tembok raksasa dan mulai hidup terkurung di dalamnya . 30 tahun kemudian, di wilayah terluar dari dinding, Distrik Shiganshina, sesosok Titan berhasil menerobos masuk. Lalu, dari dalam perut mayat seorang wanita yang ada di tumpukan muntahan Titan, secara ajaib lahirlah seorang bayi!! Inilah kisah spin off Attack on Titan yang mengungkap kisah lahirnya mesin manuver tiga dimensi dengan latar belakang 70 tahun sebelum cerita orisinal!"
"ayashiya the demon slayer","Setelah seluruh keluarganya dimangsa siluman tanpa wajah yang kemudian dikenal sebagai Tragedi Ayashiya, Jin bertekad balas dendam . Bahu-membahu bersama Damari, siluman pemakan siluman, rekan yang tidak dikehendakinya, mereka memburu siluman tanpa wajah malam demi malam dan bertemu Saki, anggota pasukan pembimbing siluman yang akhirnya menjadi teman mereka."
"baby steps","Setelah terus-menerus bertanding dan genap 2 minggu berlatih di Akademi Tenis Florida, Ei kembali ke Jepang . Di Jepang, Ei fokus berlatih untuk pertandingan All Japan Junior. Usai latihan dan menemani Natsu pulang, Ei berniat mengungkapkan perasaannya pada Natsu. Apakah Ei sanggup melakukannya?"
"bakemonogatari","Monster sejak awal ada di sana . Selalu. Di mana pun. Hitagi Senjogahara. Gadis yang ditangkap oleh Koyomi Araragi ketika dia terjatuh pada suatu hari. Tubuh gadis itu tidak memiliki berat. Dia bertemu dengan seekor kepiting dan berat badannya diambil sampai ke akar-akarnya"
"bambino secondo","Ban, dkk . yang datang untuk membantu Casa Del Passo, restoran Italia di Karuizawa saat periode sibuk musim panas dikejutkan masakan chef Kisaki yang sangat menguasai slow food! Ditambah lagi, suasana memanas akibat hubungan segitiga Ban dan Kisaki yang memperebutkan Asuka! Masakan Italia kampung melawan masakan Italia kota. Ban dan Kisaki pun saling bertarung sebagai pria dan koki!"
"bamboo blade","Toraji Ishida adalah guru SMA Swasta Muroe yang sangat miskin sampai-sampai kesulitan makan setiap harinya . Ia juga pembimbing klub kendo di sekolah tersebut. Pada suatu hari, datanglah tawaran menggiurkan (?) dari seniornya, yakni makan sushi gratis selama setahun! Syaratnya adalah memenangkan latih tanding kendo antarsiswi di sekolahnya. Masalahnya, klubnya masih kurang orang! Mampukah Kojiro menemukan anggota baru yang kuat demi menghemat uang makan!?"
"barakamon","Karena suatu alasan, pemuda tampan bernama Handa Seishu disuruh tinggal di pulau paling barat Jepang . Di hari pertama Handa menjalani kehidupan desa, dia bertemu dengan anak pulau yang polos bernama Naru. Ikutilah interaksi Handa yang besar di kota dengan warga desa yang bermacam-macam sifatnya!!"
"barista","Setelah mempertimbangkan berbagai hal, akhirnya Kouki memulai usahanya dari mendirikan pemanggangan kopi bersama Kaname . Dua tahun setelah kembali ke Jepang, akhirnya dia akan mewujudkan impian baru yang dia temukan."
"baseball star metman","Sora, seorang remaja yang menggantungkan hidupnya pada komik . Pada suatu hari bertemu dengan helm ajaib bernama Koro, dan mulai bermain baseball karenanya! Sora pun yang tadinya selalu sendirian kini bertemu dengan banyak orang bahkan punya teman baru, akan tetapi di luar dugaan teman barunya adalah...?"
"battle game in 5 seconds","Pagi itu sama seperti biasanya . Namun suatu hari, Akira, seorang siswa SMA penggemar game, terlibat bentrok dengan seorang gadis bernama Mion dan mengalami cedera parah. Saat terbangun, Akira menemukan dirinya diborgol bersama orang-orang di sekelilingnya. Mion meyakinkan mereka semua sudah mati dan telah dihapus dari data kependudukan. Saat gadis itu menjadikan mereka eksperimen dan memberikan mereka kemampuan bertarung, Akira memutuskan untuk memenangkan game dan menghancurkan organisasi misterius tersebut. Pertarungan hebat pun dimulai, dengan membangkitkan kemampuan tersembunyi dan memaksimalkan kecerdasan yang belum pernah mereka miliki!!"
"beelzebub","Ketika misteri siapa sebenarnya Zenjuro Saotome, guru misterius yang menjadi wali kelas Oga dan teman-temannya, belum terungkap, tiba-tiba muncul iblis yang mengaku sebagai kakak Beel-Boy bersama para iblis dayangnya . Apa tujuan mereka datang ke dunia manusia? Lalu, kenapa tiba-tiba muncul orang-orang yang ingin menghabisi Beel-Boy!?"
"before the earth perish","Suatu hari, di hadapan Torako, gadis remaja yang sedang menikmati indahnya masa muda, muncul seorang pria yang mengaku sebagai dewa! Dan dia mengatakan bahwa jika klub basket Torako sampai tidak berhasil memenangkan kejuaraan prefektur, bumi yang mereka tinggali akan hancur!! Inilah jilid pertama dari sebuah kisah cinta, persahabatan, dan bumi yang akan hancur!"
"began to pursue first love","Himeko yang biasa saja, tak begitu suka bergaul dengan teman yang high class di sekolahnya . Jadilah ia lebih suka menyendiri. Namun, tanpa sengaja dia melihat Haruki, seorang idola sekolah yang prestasinya sedang merosot, menangis. Himeko pun mendukungnya dengan sepenuh hati, hingga Haruki berhasil, dan mulai menyukainya! Tentu saja Himeko yang menganggap dirinya dan Haruki berasal dari dunia yang sangat berbeda, merasa tak mungkin meneruskan hubungan itu!"
"bestiarius","Durandal bertempur melawan Romawi dan sempat berdialog dengan salah seorang prajurit yang terluka . Prajurit itu meminta bantuannya, jika ia pernah bertemu anaknya bernama, Fin, untuk memberitahukannya bahwa ayahnya meninggal dengan terhormat. Segera setelah itu Durandal ditangkap oleh Romawi dan mempertemukannya dengan Fin."
"bimbogami ga","Ichiko Sakura adalah seorang lucky girl . Dia menjalani kehidupan yang berbeda dengan manusia biasa karena selalu beruntung dan tidak perlu bekerja keras. Namun, keberuntungannya yang luar biasa mengacaukan keseimbangan peruntungan di dunia manusia! Demi menjaga keseimbangan dunia, Momiji sang Bimbogami, datang menghantui Ichiko!"
"birdmen","Bosan menjalani kehidupan sehari-hari yang terus berulang, Eishi Karasuma, seorang siswa SMP, mendengar rumor Manusia Burung di sekolahnya . Untuk memastikan kebenarannya, dia bersama Kamoda, kawannya, memutuskan untuk berburu Manusia Burung tersebut. Namun mendadak bus yang mereka tumpangi mengalami kecelakaan bersama dua pelajar lainnya. Di tengah kondisi kritis, muncul Manusia Burung yang dirumorkan itu di hadapan mereka berempat! Apakah dengan ini hari-hari Karasuma akan berubah?"
"birdy the mighty","Untuk menjemput Hazumi, Birdy dan Tsutomu pergi ke rumah sakit bawah air, tapi di sana mereka malah berkelahi dengan Ondine . Di dalam rumah sakit, Shigenobu merebut data-data eksperimen spirits dari Hikawa. Siapakah yang akan menang? Apakah kegigihan Hikawa atau Shigenobu yang bersemangat? Lalu bagaimana dengan Hazumi!?"
"black butler","Selamat malam, Phantomhive . Ciel dan Sebastian menyusup ke Public School yang ternama. Sang butler menyamar menjadi guru... dan tuannya menjadi murid... Kehidupan asrama yang penuh kepalsuan pun dimulai. Sekolah tersebut dikuasai oleh empat orang prefek dengan waistcoat berwarna pelangi yang sangat menyolok. Inilah komik tentang butler yang paling klasik sedunia, dipersembahkan untuk anda..."
"black clover","Di sini adalah sebuah dunia, di mana sihir adalah segalanya . Asta, seorang pemuda yang tidak bisa menggunakan sihir sejak lahir, bercita-cita menjadi Raja Penyihir yang merupakan puncak para penyihir, demi membuktikan kekuatan dirinya dan memenuhi janji dengan temannya. Lalu, tantangan awal sangat penting yang harus lebih dulu dilaluinya dengan sukses adalah... Ujian Masuk Ordo Kesatria Sihir!! Di sinilah kisah pergulatan Asta dan sihir dimulai!!"
"black torch","Mononoke adalah jejadian yang hidup dalam keabadian . Jiro, seorang pemuda yang dibesarkan kakeknya sebagai keturunan ninja dan sanggup berbicara dengan hewan, suatu hari bertemu dengan seekor kucing hitam yang penuh luka di dalam hutan. Kucing yang mengaku adalah mononoke itu bernama Rago. Saat berusaha melindungi Rago dari para pengejar, Jiro malah tertusuk lawan! Untuk menyelamatkannya, Rago merasuki tubuh Jiro dan berasimilasi dengannya"
"blade of immortal","Pertarungan antara Klan Itto dan Kelompok 6 Setan memuncak . Ryo dan Ban dari pihak Kagimura Habaki harus membuntuti Koji Kashin, anggota Klan Itto senior, yang menuju gunung dan mempersiapkan perangkap yang disebut pot. Apakah sebenarnya pot itu? Siapakah yang akan bertahan hidup!?"
"blast of tempest","Mahiro Fuwa adalah seorang remaja yang kehilangan orangtua dan adiknya dalam sebuah pembunuhan misterius . Ternyata, dia berhubungan dengan Hakaze, pemimpin klan Kusaribe, dan ahli sihir yang ditinggalkan di pulau terpencil. Mahiro berjanji membantu Hakaze dengan syarat, Hakaze akan membantu Mahiro menemukan pembunuh keluarganya. Ternyata, Mahiro dan sahabatnya, Yoshino, terlibat dalam usaha menghentikan klan Kusaribe untuk membangkitkan pohon Zetsuen yang dapat menghancurkan dunia"
"blood lad","Staz adalah vampir yang mencintai kebudayaan Jepang, membenci hal tipikal vampir, dan seorang bos teritori di dunia iblis . Suatu hari, seorang gadis Jepang bernama Fuyumi Yanagi tersesat di teritori Staz. Romantisme Staz yang bisa bertemu orang Jepang sungguhan tidak bisa dihentikan. Tapi, selama mengusir penyusup yang mengincar teritorinya, Fuyumi dimakan monster! Kecewa karena Fuyumi kehilangan daya tariknya setelah menjadi hantu, Staz pun memutuskan untuk menghidupkannya kembali!"
"bloody monday last season","Setahun telah berlalu sejak teror peristiwa Bloody Monday Kedua . Jepang telah bangkit dari ketakutan dan kembali mendapatkan kepercayaan internasional, sehingga bisa mengadakan Tokyo Super Summit yang dihadiri oleh para pemimpin dunia. Sementara itu, keberadaan Fujimaru Takagi tak diketahui, padahal bahaya masih mengancam Jepang"
"bloody monday season 2","Setelah Alexei Hino alias Arthur bebas, Magic Bullet Shooter memulai pencarian Kaisar Ketiga, yang bahkan tidak diketahui keberadaannya oleh Arthur . Tak disangka, kunci untuk menemukan Kaisar Ketiga adalah orang yang ada hubungannya dengan Fujimaru! Sementara itu, saat sedang meng-hack sistem perusahaan gas untuk mengetahui rencana lawan, Fujimaru tertangkap oleh Peter Pan, hacker hebat yang delapan tahun lalu pun berkemampuan setara dengannya. Lokasi mereka pun diketahui dan para anggota Magic Bullet Shooter menyerang mereka..."
"blue flame","Tidak disangka, Hono mendapat telepon dari penerbit di Tokyo yang tertarik dengan naskahnya! Hono pun berbohong kalau komiknya sebentar lagi akan selesai, padahal dia sama sekali belum membuatnya . Bahkan ide ceritanya saja belum ada! Di tengah kepanikan itu, Hono memutuskan untuk mencontek karya orang. Apakah Hono mampu membuang harga dirinya sebagai komikus!?"
"blue lock","Tahun 2018 timnas Jepang tereliminasi pada putaran per delapan final Piala Dunia Akibat kegagalan ini, persatuan sepak bola Jepang mendirikan training camp Blue Lock, mengumpulkan 300 orang penyerang pelajar tingkat SMA supaya Jepang menjadi juara piala dunia . Jinpachi Ego, laki-laki yang menjabat sebagai pelatih, menegaskan, yang dibutuhkan Jepang itu striker yang penuh keegoisan. Penyerang yang tidak terkenal, Yoichi Isagi, dan teman-teman penyerang lainnya mengikuti training dimana mereka bersaing satu sama lain, training yang akan mengubah diri mereka menjadi egois!"
"bonobono","Hutan selalu dipenuhi bunyi-bunyian ajaib . Inilah kisah kehidupan sehari-hari seekor berang-berang bernama Bonobono bersama para sahabatnya yang manis dan aneh. Kehidupan sehari-hari yang manis dan aneh itu tertuang dalam buku harian Bonobono. Sebab, buku Bonobono ini memang penuh dengan hal manis dan aneh."
"book of horror","Cerita-cerita horor yang dialami beberapa orang dan membawa kengerian akan tempat dan benda di sekelilingnya . Dari rumah yang ditinggali makhluk halus, juga mobil murah yang menyimpan cerita mistis."
"boruto - naruto next generation","Perang besar ninja sudah lama berakhir . Desa Konohagakure pun memasuki era penuh kedamaian. Namun, karena dampak dari nama besar ayahnya, Boruto (anak Hokage Ketujuh) menjalani hari-hari yang kelam... tanpa menyadari adanya bencana baru yang mengintai Legenda generasi baru pun dimulai!!"
"brave 10","Tahun 1600 . 10 Pemberani berkumpul di bawah naungan Yukimura Sanada. Mereka menantang Pertandingan 10 Babak Kastil Ueda dengan mempertaruhkan masa depan keluarga Sanada. Apakah mereka akan dipermainkan gelombang besar kekacauan zaman Sengoku, atau membuka zaman baru!?"
"brave story","Pertempuran melawan Onba dan Shigdra terus berlanjut! Kali ini dunia iblis hampir sepenuhnya muncul di Vision! Wataru dan yang lainnya kesulitan menghadapi semua ini . Namun demikian, kelihatannya Book punya rencana sendiri..."
"break shot","Shinsuke Oda yang dijuluki si jenius `jump shot` adalah satu-satunya anggota klub biliar di SMA Seijo . Demi meresmikan dan untuk mendapatkan anggaran bagi klub biliarnya, Oda menantang Rei Sawatari yang merupakan juara biliar antar-pelajar, dan berhasil memenangkan pertandingan. Kemudian, Oda ikut serta dalam kejuaraan biliar antar-SMA. Namun, di hadapannya muncul Ryoji kano yang merupakan salah satu super `hustler` yang termasuk dalam 5 jari terhebat Jepang!!"
